Main_ID,EventYear,Collected,Raised,NonFund,Donated,Participant,Volunteer,CorpSponsor,Fundraiser,RegFeePaid,CCWaived,TeamID,MinFund,Commitment,Virtual,CompanyID,RestrictedFund,UniqueID,EventName,RaisedMembers,Event,FRChangeDate,FBFundraiserID,FBDonationID,FBAdjustments,FBChangeDate
00015-2,2023,"41,886.75","41,036.75",850,0,true,false,false,true,true,false,"1,384","6,000","6,000",false,NULL,XJ,10FD59A9-048D-ED11-B382-0A4CF4968877,PMC,0,1,2023-12-01 12:15:02.040,1503972827030787,NULL,0,2023-12-01 12:16:30.227
00015-2,2023,0,0,0,0,false,false,false,false,false,false,NULL,0,0,false,NULL,NULL,008EE994-9257-EE11-80A4-0A4CF4968877,Unpaved,0,NULL,NULL,NULL,NULL,NULL,NULL
00017-8,2023,"13,741","13,060",681,0,true,false,false,true,true,false,"1,384","6,000","6,000",false,NULL,XJ,30A6AAF5-028D-ED11-B382-0A4CF4968877,PMC,0,1,2023-12-05 15:50:04.603,NULL,NULL,0,NULL
00043-7,2023,0,0,0,0,false,false,false,false,false,false,NULL,0,0,false,NULL,NULL,408B4C57-B5D7-ED11-B383-0A4CF4968877,PMC,0,NULL,NULL,NULL,NULL,NULL,NULL
00050-5,2023,"20,314","19,569",745,0,true,false,false,true,true,false,NULL,"6,000","6,000",false,NULL,NULL,E00A3623-038D-ED11-B382-0A4CF4968877,PMC,0,8,2023-10-02 11:50:00.643,1436285353862035,7027588597328378,465,2023-10-02 12:01:55.253
00077-0,2023,"13,137.1","12,812.1",325,0,true,false,false,true,true,false,77,"6,000","6,000",false,NULL,1,E9F7E387-038D-ED11-B382-0A4CF4968877,PMC,0,1,2023-09-06 17:27:04.093,NULL,NULL,0,NULL
00086-4,2023,"10,509","10,000",509,0,true,false,false,true,true,false,NULL,"6,000","6,000",false,NULL,NULL,B24E042B-86B1-ED11-B382-0A4CF4968877,PMC,0,3,2023-10-14 18:15:01.993,6321066787988633,6535631986556398,0,2023-10-14 18:31:10.847
00091-6,2023,"18,457","17,970",487,0,true,false,false,true,true,false,80,"6,000","6,000",false,NULL,NULL,F0289E92-1A8E-ED11-B382-0A4CF4968877,PMC,0,3,2023-11-01 13:00:02.567,NULL,NULL,0,NULL
00123-2,2023,"2,010","2,010",0,0,false,true,false,true,false,false,NULL,0,0,false,NULL,NULL,000D4E45-E198-ED11-B382-0A4CF4968877,PMC,0,NULL,2023-10-03 11:09:13.070,NULL,NULL,0,NULL
00126-1,2023,0,0,0,0,false,false,false,false,false,false,NULL,0,0,false,NULL,NULL,8A4252CE-5409-EE11-93E6-00237D21B888,PMC,0,NULL,2023-06-20 13:59:16.167,NULL,NULL,0,NULL
00138-4,2023,"12,727.52","12,402.52",325,0,true,false,false,true,true,false,762,"6,000","6,000",false,NULL,NULL,C02C817C-2394-ED11-B382-0A4CF4968877,PMC,0,1,2023-12-05 14:05:00.903,815731819989313,4978286495629033,"1,392.52",2023-12-05 14:16:38.920
00139-7,2023,"18,981.75","18,500.75",481,0,true,false,false,true,true,false,768,"6,000","6,000",false,NULL,NULL,B03AD64D-6D8F-ED11-B382-0A4CF4968877,PMC,0,3,2023-10-31 18:25:01.490,153973900986549,6636047233111444,342.75,2023-10-31 18:31:34.560
00149-4,2023,"18,538","18,005",533,0,true,false,false,true,true,false,795,"6,000","6,000",false,NULL,NULL,4087B6F3-168D-ED11-B382-0A4CF4968877,PMC,0,1,2023-10-15 16:38:01.373,1363513257841964,5925615720875375,100,2023-10-15 16:46:07.107
00151-7,2023,"6,623","6,000",623,0,true,false,false,true,true,false,NULL,"6,000","6,000",false,NULL,NULL,2071E399-44B8-ED11-B382-0A4CF4968877,PMC,0,8,2023-10-05 12:36:22.240,NULL,NULL,0,NULL
00160-1,2023,"32,635","31,779",856,0,true,false,false,true,true,false,38,"6,000","6,000",false,NULL,NULL,90D38250-3D8D-ED11-B382-0A4CF4968877,PMC,0,1,2023-12-06 11:26:06.003,NULL,NULL,0,NULL
00173-7,2023,"41,052.44","40,254.44",798,0,true,true,false,true,true,false,77,"6,000","6,000",false,NULL,1,E3D089E6-028D-ED11-B382-0A4CF4968877,PMC,0,1,2023-11-14 15:24:14.803,NULL,NULL,0,NULL
00174-0,2023,"33,100.16","32,375.16",725,0,true,false,false,true,true,false,"1,608","6,000","6,000",false,NULL,KG,B061E3A4-078D-ED11-B382-0A4CF4968877,PMC,0,1,2023-11-16 15:47:06.050,NULL,NULL,0,NULL
00175-3,2023,"4,278","3,915",363,0,true,false,false,true,true,false,NULL,"2,000","2,000",false,NULL,NULL,B3C82FEB-529F-ED11-8450-00237D21B888,PMC,0,C,2023-08-17 13:20:01.270,NULL,NULL,0,NULL
00177-9,2023,"11,874","11,665",209,0,true,false,false,true,true,false,NULL,"2,000","2,000",false,NULL,NULL,620DBB3F-B3F4-ED11-B383-0A4CF4968877,PMC,0,C,2023-08-23 11:45:02.593,617136637018884,NULL,0,2023-08-23 11:46:55.023
00203-7,2023,"10,811.1","10,486.1",325,0,true,false,false,true,true,false,19,"6,000","6,000",false,NULL,NULL,10AF1825-2B8E-ED11-B382-0A4CF4968877,PMC,0,3,2023-09-29 16:38:14.780,NULL,NULL,0,NULL
00219-2,2023,"4,170","4,045",125,0,true,true,false,true,true,false,NULL,"2,000","2,000",false,NULL,NULL,109F9191-069C-ED11-B382-0A4CF4968877,PMC,0,O,2023-09-06 10:17:57.950,NULL,NULL,0,NULL
00232-5,2023,0,0,0,0,false,true,false,false,false,false,NULL,0,0,false,NULL,NULL,A1008220-3DB8-ED11-B382-0A4CF4968877,PMC,0,NULL,NULL,NULL,NULL,NULL,NULL
