FundraisedAmount,Main_ID,Description,EventYear
"12,279",32074-8,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"7,100",13496-3,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"10,735.22",66030-1,"Bourne to Provincetown Inn (1-Day, Sun)",2022
0,66030-1,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"16,930",13386-7,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"9,852",75844-6,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,120",10537-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"9,503.55",28328-3,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"7,621.62",10718-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,050",10749-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"4,238.99",10978-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"7,552.55",90565-5,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"9,501",10252-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"13,886",11723-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"7,360",59285-1,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,493.22",90641-8,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"2,204.66",10474-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,009.2",84661-7,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"9,511.11",10538-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,000",10647-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,000",10705-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,000",10930-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"16,580",24593-3,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,645",11061-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"35,725",17552-4,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"7,331.2",54109-3,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"12,342.75",24002-2,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"9,365",24283-9,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"9,650",70993-2,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"1,500",70993-2,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"401,300",27936-5,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"16,140",50623-2,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"9,635",87031-1,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"33,617.11",75362-9,"Bourne to Provincetown Inn (1-Day, Sun)",2022
0,75362-9,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,040",39573-1,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"10,516.65",61128-2,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"7,070",95295-4,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,000",11196-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,029.5",62942-3,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"10,570",70231-1,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,000",10572-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,516.28",10583-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"13,000",36621-0,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"5,845",95766-1,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"9,226",11252-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"8,168.55",55165-6,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"8,030.2",70775-6,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"9,685.59",87583-7,"Bourne to Provincetown Inn (1-Day, Sun)",2022
100,95371-7,"Bourne to Provincetown Inn (1-Day, Sun)",2022
25,77410-3,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,280",12031-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,000",12225-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"18,780",42025-3,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"10,410",10054-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"10,259.52",10056-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"15,075",10061-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"9,700",29339-6,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,000",11177-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"10,305",11860-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"7,595",25143-5,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"8,280.57",65626-3,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"20,995.1",71269-9,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"7,090",93620-0,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,120",53677-8,"Bourne to Provincetown Inn (1-Day, Sun)",2022
0,53677-8,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"14,897",58919-4,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,000",62057-4,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"8,415",66760-5,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"14,218.55",38321-9,"Bourne to Provincetown Inn (1-Day, Sun)",2022
0,38321-9,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,000",38696-0,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,873.8",97469-9,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,775.1",11251-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"2,878",11251-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,400",11364-A,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"8,620",77729-4,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,326",13325-2,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"12,085",98552-3,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"7,478.44",38821-4,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"11,246.28",97147-2,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"7,545",56924-0,"Bourne to Provincetown Inn (1-Day, Sun)",2022
"6,000",11532-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"9,518.75",52112-3,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"16,006.5",66294-3,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",11582-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"9,800",10766-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,582",10772-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"10,001.1",10869-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,749.69",11788-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,020",10535-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",11522-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"7,969",11836-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"17,144",31678-1,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"12,944",10797-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,347.55",10891-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",10181-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,234",39970-8,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"11,955",86034-7,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",90754-3,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,362.1",10536-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
