egiftID,Main_id
NULL,43157-2
NULL,44218-9
NULL,99179-5
*W0001,89294-6
.R0001,36291-3
1B0001,60211-0
1j0001,48181-0
2B0001,60212-3
4n0001,87529-3
AA0001,00060-2
AA0002,03406-3
AA0003,05115-6
AA0004,05552-1
AA0005,05889-0
AA0008,18822-3
AA0009,19419-4
AA0012,20743-4
AA0013,20763-8
AA0015,22348-9
AA0016,22488-6
AA0017,22581-4
AA0018,23458-8
AA0020,24533-1
AA0021,26522-7
AA0022,26274-1
AA0023,26292-9
AA0024,29025-0
AA0025,29906-0
AA0026,30288-9
AA0029,30751-2
AA0031,31475-4
AA0032,32371-6
AA0033,32708-4
AA0034,38005-0
AA0035,38006-3
AA0036,35517-9
AA0037,35542-5
AA0038,33200-8
AA0039,34778-9
AA0040,36312-9
AA0041,35724-5
AA0042,36618-4
AA0043,37507-8
AA0044,37696-7
AA0045,40366-5
AA0046,40367-8
AA0047,40505-8
AA0048,40880-6
AA0049,41858-2
AA0050,42015-6
AA0051,16980-2
AA0052,48049-7
AA0053,48751-3
AA0054,50384-0
AA0055,50405-6
AA0056,50522-0
AA0057,50667-2
AA0058,50864-1
AA0059,50941-7
AA0060,51069-7
AA0061,51169-6
AA0062,52211-9
AA0063,52508-0
AA0064,52643-2
AA0065,54255-5
AA0066,54729-1
AA0067,55010-7
AA0068,55434-9
AA0069,55938-6
AA0070,57813-4
AA0071,58139-6
AA0072,58202-3
AA0073,60415-0
AA0074,59335-5
AA0075,70305-1
AA0076,71717-3
AA0077,71933-3
AA0078,72114-3
AA0079,72302-8
AA0080,72810-4
AA0081,73310-2
AA0082,73663-3
AA0083,73755-1
AA0084,73841-1
AA0085,73978-2
AA0086,73987-6
AA0088,75770-6
AA0089,76464-7
AA0090,76688-1
AA0091,76728-8
AA0092,77397-1
AA0093,78181-1
AA0094,78206-9
AA0095,78649-2
AA0096,78748-8
AA0097,78801-8
AA0098,79256-7
AA0099,25721-9
AA0100,79950-2
AA0101,80683-5
AA0102,81230-8
AA0103,81296-8
AA0104,25140-6
AA0105,81710-9
AA0106,81720-6
AA0107,81846-7
AA0108,82542-1
AA0109,82772-0
AA0110,84276-3
AA0111,84465-1
AA0112,84615-4
AA0113,86094-9
AA0114,86353-5
AA0115,86731-1
AA0116,87092-6
AA0117,87160-8
AA0118,87569-1
AA0119,87695-9
AA0120,87886-3
AA0121,88322-7
AA0122,88361-2
AA0123,88782-5
AA0125,89425-8
AA0126,89548-0
AA0127,89603-6
AA0128,60938-8
AA0129,60996-4
AA0130,61317-0
AA0131,61439-9
AA0132,61821-4
AA0133,62009-5
AA0134,62028-6
AA0135,62476-1
AA0136,62919-3
AA0137,63374-9
AA0138,63705-9
AA0139,64924-1
AA0140,65578-5
AA0141,65647-0
AA0142,66820-6
AA0143,67435-5
AA0144,67724-2
AA0145,67725-5
AA0146,69033-9
AA0147,69301-9
AA0148,69316-1
AA0149,69548-6
AA0150,69762-0
AA0151,69793-4
AA0152,69879-7
AA0153,39024-4
AA0154,38619-3
AA0155,13580-7
AA0156,90041-4
AA0157,90357-6
AA0158,90552-9
AA0159,90559-0
AA0160,92185-9
AA0161,92186-2
AA0162,92315-8
AA0163,92646-9
AA0164,92758-1
AA0165,92839-9
AA0166,92912-3
AA0167,93499-8
AA0168,93552-8
AA0169,94047-4
AA0170,94728-6
AA0171,94747-7
AA0172,94862-5
AA0173,95289-9
AA0174,95422-4
AA0175,95672-7
AA0176,96208-3
AA0177,96614-4
AA0178,96741-5
AA0179,97891-2
AA0180,98131-0
AA0181,98864-3
AA0182,99428-4
AA0183,99482-8
AA0184,10026-A
AA0185,10029-A
AA0186,11178-A
AA0187,11256-A
AA0188,11343-A
AA0189,11449-A
AA0190,11531-A
AA0192,11789-A
AA0193,11839-A
AA0194,12301-A
AA0195,12589-A
AA0196,12905-A
AA0197,13067-A
AA0198,13637-A
AA0199,14284-A
AA0200,14707-A
AA0201,14762-A
AA0202,14962-A
AA0203,15937-A
AA0204,16215-A
AA0205,16318-A
AA0206,16428-A
AA0207,16677-A
AA0208,16715-A
AA0209,17195-A
AA0210,17732-A
AA0211,17927-A
AA0212,18036-A
AA0213,18103-A
AA0214,18488-A
AA0215,18527-A
AA0216,19411-A
AA0217,19546-A
AB0001,00073-8
AB0002,00112-2
AB0003,00134-2
AB0004,00135-5
AB0005,00161-4
AB0006,00163-0
AB0007,00166-9
AB0008,00181-8
AB0009,00201-1
AB0010,00226-0
AB0011,00227-3
AB0012,02895-6
AB0013,02910-4
AB0014,03189-1
AB0015,03363-7
AB0016,03481-4
AB0017,03505-9
AB0018,03518-5
AB0019,03663-4
AB0020,03975-4
AB0021,04257-6
AB0022,06533-3
AB0023,07059-3
AB0024,07109-7
AB0025,07174-1
AB0026,10058-6
AB0027,10118-7
AB0028,10315-6
AB0029,10392-3
AB0030,11602-0
AB0031,11710-0
AB0033,12877-5
AB0038,15265-7
AB0039,15293-2
AB0043,15862-2
AB0044,16056-8
AB0045,16094-0
AB0046,16258-2
AB0047,16369-1
AB0049,17209-3
AB0052,18855-3
AB0053,18947-1
AB0054,19187-0
AB0055,19421-7
AB0056,19747-6
AB0060,20318-2
AB0061,21012-0
AB0063,21190-9
AB0065,21390-7
AB0066,21427-8
AB0067,22394-2
AB0068,22605-9
AB0069,22728-1
AB0070,22748-5
AB0071,22773-1
AB0073,22814-1
AB0074,22848-4
AB0075,23076-0
AB0077,23160-4
AB0078,23435-5
AB0079,23633-7
AB0080,23711-6
AB0081,08411-0
AB0083,27082-7
AB0084,24543-8
AB0085,27299-3
AB0086,24579-7
AB0088,17565-0
AB0089,24146-1
AB0090,24270-3
AB0091,24434-5
AB0092,27576-7
AB0095,29342-2
AB0096,29614-4
AB0097,29741-5
AB0099,24632-7
AB0100,30206-7
AB0101,26583-2
AB0102,26597-1
AB0103,30745-7
AB0104,30811-3
AB0105,26686-0
AB0106,26765-2
AB0107,31156-6
AB0108,31212-5
AB0109,31281-1
AB0110,31282-4
AB0111,31283-7
AB0113,31364-5
AB0114,31543-6
AB0115,31546-5
AB0117,31725-6
AB0118,31921-2
AB0119,31987-2
AB0120,31999-5
AB0121,32101-9
AB0122,32160-8
AB0123,32316-9
AB0124,32387-1
AB0125,32450-8
AB0126,32497-7
AB0128,38012-8
AB0129,38013-1
AB0131,32990-1
AB0132,35524-7
AB0133,35566-1
AB0134,35645-3
AB0135,33352-8
AB0136,33460-8
AB0137,33517-3
AB0138,33578-8
AB0139,33695-2
AB0140,33731-7
AB0141,34099-3
AB0142,34246-7
AB0143,34606-5
AB0144,34790-9
AB0145,34800-5
AB0146,34932-1
AB0147,34989-7
AB0148,36338-1
AB0149,36358-5
AB0151,36583-9
AB0152,36674-4
AB0153,36798-9
AB0154,36987-7
AB0155,37044-2
AB0156,37387-6
AB0157,37445-1
AB0158,37469-7
AB0159,37605-1
AB0160,37611-6
AB0161,37644-6
AB0162,37688-6
AB0163,40034-1
AB0164,40127-2
AB0165,16784-6
AB0166,40222-6
AB0167,40386-9
AB0168,40460-6
AB0169,40524-9
